endpoint_key,source,source_clean,endpoint_weight,source_weight,performance_weight
death_cvd,Mortality,Mortality,2.872,3,0.957
death_injury,Mortality,Mortality,2.773,3,0.924
death_mental,Mortality,Mortality,2.159,3,0.72
death_renal,Mortality,Mortality,2.102,3,0.701
death_respiratory,Mortality,Mortality,2.517,3,0.839
deaths,Other,Other,0.957,1,0.957
ed_cvd,ED,ED,1.668,2,0.834
ed_dehydration,ED,ED,1.271,2,0.636
ed_injury,ED,ED,1.768,2,0.884
ed_renal,ED,ED,1.405,2,0.702
ed_respiratory,ED,ED,1.689,2,0.845
ed_syncope,ED,ED,1.293,2,0.647
ed_visits,ED,ED,1.803,2,0.902
ems_bleeding,EMS,EMS,1.83,2,0.915
ems_calls,EMS,EMS,1.869,2,0.935
ems_cvd,EMS,EMS,1.779,2,0.889
ems_gi,EMS,EMS,1.816,2,0.908
ems_injury,EMS,EMS,1.866,2,0.933
ems_mental,EMS,EMS,1.878,2,0.939
ems_neuro,EMS,EMS,1.864,2,0.932
ems_respiratory,EMS,EMS,1.777,2,0.888
ems_syncope,EMS,EMS,1.695,2,0.848
